Date,Open,High,Low,Close,Volume,Adj Close,percent_from_mean
2010-06-10,43.810001,44.720001,43.549999,44.490002,8497000,43.267856,-24.5722524903
2010-06-11,43.599998,44.689999,42.810001,44.599998,8974100,43.374832,-24.3857639636
2010-06-14,46.150002,48.25,46.110001,47.34,22188600,46.039565,-19.7404030309
2010-06-15,47.799999,48.919998,47.619999,48.68,15939100,47.342755,-17.4685852113
2010-06-16,48.630001,50.290001,48.400002,49.389999,15243200,48.033251,-16.2648611824
2010-06-17,49.689999,49.810001,48.43,49.700001,9996700,48.334736,-15.7392900874
2010-06-18,49.720001,49.790001,48.84,49.02,8804900,47.673416,-16.8921523411
2010-06-21,50.18,50.549999,47.66,48.040001,12112400,46.720337,-18.5536306027
2010-06-22,48.5,49.400002,47.0,47.080002,10804200,45.786709,-20.1812004331
2010-06-23,47.25,47.669998,45.73,46.869999,11504800,45.582475,-20.5372363454
2010-06-24,46.77,47.080002,45.669998,45.799999,11006600,44.541868,-22.3512999323
2010-06-25,46.369999,46.470001,44.939999,46.099998,13164100,44.833626,-21.8426856678
2010-06-28,46.549999,47.43,45.830002,45.84,11060400,44.58077,-22.28348307
2010-06-29,44.700001,44.779999,42.299999,42.639999,15587100,41.468674,-27.7087204868
2010-06-30,43.209999,44.32,41.799999,42.07,11680000,40.914332,-28.6750907273
2010-07-01,42.27,42.869999,40.150002,42.169998,15367100,41.011584,-28.5055538013
2010-07-02,42.869999,42.869999,40.73,41.470001,8892700,40.330816,-29.6923192564
2010-07-06,42.540001,43.200001,41.009998,41.77,10674300,40.622574,-29.1837049918
2010-07-07,42.220001,43.619999,41.900002,43.529999,10330800,42.334225,-26.1998275505
2010-07-08,44.490002,44.900002,42.830002,43.540001,11319700,42.343952,-26.18287072
2010-07-09,43.27,43.360001,42.32,42.900002,8993600,41.721534,-27.2679161114
2010-07-12,44.16,46.09,43.950001,45.810001,15268100,44.551596,-22.3343413586
2010-07-13,46.779999,46.799999,45.0,45.709999,12517100,44.45434,-22.5038852577
2010-07-14,46.68,46.740002,44.689999,45.130001,11917700,43.890275,-23.4872053556
2010-07-15,44.869999,45.09,43.580002,43.970001,9590800,42.76214,-25.4538542678
2010-07-16,43.790001,43.84,41.810001,41.93,11798800,40.778179,-28.9124427723
2010-07-19,41.970001,42.549999,41.16,41.790001,9685200,40.642025,-29.1497965607
2010-07-20,40.52,42.330002,39.450001,42.279999,14360800,41.118562,-28.3190617881
2010-07-21,43.0,43.470001,41.939999,42.119999,13704400,40.962958,-28.5903222643
2010-07-22,43.220001,43.669998,42.099998,43.099998,14804600,41.916037,-26.9288440027
2010-07-23,40.43,41.439999,39.900002,41.43,24875600,40.291914,-29.7601361187
2010-07-26,41.57,42.48,41.450001,42.41,9299900,41.244992,-28.0986596004
2010-07-27,42.889999,43.889999,42.25,43.529999,12472700,42.334225,-26.1998275505
2010-07-28,43.639999,44.43,42.650002,43.07,10793700,41.886862,-26.9797040346
2010-07-29,43.529999,44.080002,42.5,43.650002,10943900,42.450931,-25.9963769635
2010-07-30,43.0,43.82,42.400002,43.700001,8840800,42.499557,-25.9116085005
2010-08-02,44.5,45.48,44.009998,45.310001,9115700,44.065331,-23.1820347049
2010-08-03,45.310001,45.349998,44.389999,45.080002,6994500,43.841649,-23.5719738186
2010-08-04,45.110001,46.240002,45.049999,46.23,8125700,44.960056,-21.6222834801
2010-08-05,45.919998,46.450001,45.400002,45.700001,5869600,44.444617,-22.5208351151
2010-08-06,45.060001,45.450001,44.209999,45.139999,7868400,43.899999,-23.4702537549
2010-08-09,45.73,46.599998,45.150002,46.369999,7857400,45.09621,-21.3849296918
2010-08-10,45.630001,45.939999,44.700001,45.599998,9314800,44.347361,-22.6903790142
2010-08-11,44.5,44.580002,42.25,42.830002,12514400,41.653457,-27.3865930056
2010-08-12,41.599998,42.830002,41.18,42.220001,7090600,41.060213,-28.4207801085
2010-08-13,42.169998,42.830002,41.540001,41.540001,6341000,40.398892,-29.5736441055
2010-08-16,41.310001,42.959999,40.77,42.509998,7200900,41.342244,-27.9291226744
2010-08-17,43.099998,44.169998,42.689999,43.57,7965300,42.373127,-26.1320106882
2010-08-18,43.43,44.990002,42.939999,44.860001,9850600,43.627691,-23.9449613316
2010-08-19,43.48,43.959999,41.799999,41.900002,17413100,40.749004,-28.9633028042
2010-08-20,41.57,41.849998,40.889999,41.5,19697900,40.35999,-29.6414609678
2010-08-23,42.0,42.110001,40.720001,40.73,10979200,39.611142,-30.9469085469
2010-08-24,39.080002,39.200001,37.82,38.27,18571800,37.218719,-35.1175584164
2010-08-25,37.630001,38.040001,36.27,37.759998,21359200,36.722727,-35.9822085933
2010-08-26,38.439999,38.439999,35.389999,35.779999,19326000,34.797118,-39.3390735476
2010-08-27,36.279999,36.529999,33.599998,34.189999,29008300,33.250796,-42.0347371687
2010-08-30,34.59,34.970001,34.060001,34.259998,14731800,33.318872,-41.9160620179
2010-08-31,34.119999,34.200001,33.029999,33.130001,16130700,32.219916,-43.8318439251
2010-09-01,33.93,35.400002,33.75,34.810001,14269700,33.853767,-40.9835932354
2010-09-02,35.07,36.34,34.139999,36.009998,16832400,35.0208,-38.9491344339
2010-09-03,37.0,37.540001,36.59,36.950001,12562400,35.93498,-37.3554678049
2010-09-07,37.110001,37.48,36.5,36.610001,10183500,35.60432,-37.9318989317
2010-09-08,36.900002,37.799999,36.669998,37.509998,10567000,36.479594,-36.4060561381
2010-09-09,38.34,38.740002,37.509998,37.950001,10720000,36.90751,-35.6600811121
2010-09-10,38.119999,38.25,36.27,36.939999,10538700,35.925253,-37.3724246354
2010-09-13,37.650002,39.040001,37.619999,38.790001,11032000,37.724435,-34.2359566389
2010-09-14,38.57,39.84,38.049999,39.509998,12803700,38.424654,-33.0152827526
2010-09-15,39.060001,39.880001,39.02,39.73,7537400,38.638612,-32.6422952396
2010-09-16,39.68,39.68,38.75,39.310001,8793600,38.230151,-33.3543548613
2010-09-17,39.16,39.279999,37.490002,38.119999,15258400,37.072838,-35.3718690352
2010-09-20,38.25,38.360001,36.900002,37.759998,13234100,36.722727,-35.9822085933
2010-09-21,36.98,37.130001,35.119999,35.470001,25194200,34.495636,-39.8646394128
2010-09-22,34.849998,35.939999,34.59,35.75,12737200,34.767944,-39.3899318361
2010-09-23,35.310001,36.07,34.880001,35.279999,10526200,34.310853,-40.186766894
2010-09-24,35.84,36.049999,35.389999,35.849998,10467900,34.865195,-39.2203966534
2010-09-27,35.869999,36.369999,35.299999,35.889999,8006900,34.904097,-39.1525797911
2010-09-28,36.0,36.349998,35.5,35.98,8498100,34.991625,-38.9999944658
2010-09-29,35.950001,38.299999,35.799999,37.639999,15111900,36.606024,-36.1856539504
2010-09-30,38.099998,38.150002,36.029999,36.650002,11196100,35.643222,-37.8640820694
2010-10-01,37.23,37.5,36.549999,37.029999,7192000,36.012781,-37.21983931
2010-10-04,37.0,37.139999,35.939999,36.279999,7268600,35.283383,-38.4913802012
2010-10-05,36.93,37.84,36.509998,37.639999,8896500,36.606024,-36.1856539504
2010-10-06,37.830002,38.650002,36.860001,37.32,9123200,36.294815,-36.7281766461
2010-10-07,37.669998,37.93,37.0,37.25,6117600,36.226738,-36.8468535403
2010-10-08,37.650002,39.66,37.25,39.52,12161700,38.434382,-32.9983241789
