Date,Open,High,Low,Close,Volume,Adj Close
2010-06-10,62.810001,64.010002,62.299999,63.889999,5682900,56.924308
2010-06-11,63.16,65.699997,63.150002,65.379997,8461800,58.251857
2010-06-14,66.220001,66.550003,64.709999,64.82,6000100,57.752914
2010-06-15,65.669998,67.57,65.470001,67.480003,6400600,60.122907
2010-06-16,66.93,67.559998,66.599998,67.029999,4451700,59.721965
2010-06-17,67.480003,67.489998,65.879997,67.260002,3637100,59.926892
2010-06-18,67.379997,68.139999,67.160004,67.959999,6213700,60.550571
2010-06-21,68.949997,69.339996,67.57,67.970001,4109500,60.559483
2010-06-22,67.970001,68.470001,66.150002,66.279999,4188200,59.053735
2010-06-23,66.419998,67.879997,65.650002,67.449997,6098600,60.096172
2010-06-24,67.169998,68.239998,67.139999,67.43,7768700,60.078356
2010-06-25,67.309998,68.769997,66.669998,68.769997,13325500,61.272257
2010-06-28,68.43,68.620003,67.260002,67.300003,5517000,59.962532
2010-06-29,66.110001,66.199997,62.560001,63.040001,9210000,56.166982
2010-06-30,63.049999,64.209999,62.580002,62.75,7102200,55.908599
2010-07-01,62.48,62.720001,61.310001,62.259998,6465100,55.47202
2010-07-02,62.32,62.5,61.169998,61.939999,3561300,55.186909
2010-07-06,62.709999,63.02,60.650002,61.360001,5444200,54.670146
2010-07-07,61.48,63.369999,61.029999,63.299999,4785100,56.398634
2010-07-08,64.089996,64.889999,63.549999,64.730003,4489200,57.67273
2010-07-09,65.199997,65.199997,64.010002,64.660004,3145000,57.610362
2010-07-12,64.550003,64.980003,64.010002,64.339996,2299500,57.325244
2010-07-13,65.150002,65.360001,64.18,64.43,6208300,57.405435
2010-07-14,64.290001,65.389999,64.050003,64.75,3822500,57.690546
2010-07-15,65.650002,65.779999,63.360001,64.370003,8068800,57.351979
2010-07-16,63.959999,64.260002,61.68,61.900002,7016400,55.151273
2010-07-19,62.720001,63.360001,62.040001,63.18,5031500,56.291718
2010-07-20,62.259998,64.0,61.830002,63.880001,5068600,56.9154
2010-07-21,64.400002,64.809998,62.669998,63.18,4459500,56.291718
2010-07-22,64.019997,67.110001,64.019997,66.599998,7572300,59.338846
2010-07-23,66.489998,68.169998,66.360001,67.93,5023400,60.523843
2010-07-26,68.150002,68.989998,68.0,68.849998,5836600,61.343537
2010-07-27,69.25,69.75,68.400002,68.620003,5686800,61.138617
2010-07-28,67.620003,68.0,66.900002,67.32,5540700,59.980348
2010-07-29,67.849998,68.529999,66.690002,67.220001,4458600,59.891252
2010-07-30,66.610001,68.379997,66.470001,68.139999,6022000,60.710947
2010-08-02,69.010002,69.93,68.5,69.690002,5430800,62.091958
2010-08-03,69.309998,70.0,68.93,69.540001,3773400,61.958311
2010-08-04,69.419998,69.93,69.160004,69.25,3860000,62.07484
2010-08-05,68.730003,69.25,68.330002,68.709999,4312900,61.59079
2010-08-06,68.029999,68.720001,67.360001,68.699997,4498800,61.581824
2010-08-09,69.169998,69.470001,68.449997,68.989998,2904300,61.841777
