"","UTX.Open","UTX.High","UTX.Low","UTX.Close","UTX.Volume","UTX.Adjusted"
"891",109.220001,111.129997,109.07,110.660004,4618000,107.157231
"892",111.419998,111.470001,110.57,110.82,1967500,107.312163
"893",110.800003,111.599998,110.68,111.470001,747900,107.94159
"894",111.610001,112.760002,111.559998,112.690002,2449400,109.122974
"895",112.849998,113.040001,112.440002,112.800003,1593900,109.229492
"896",112.900002,112.900002,112.099998,112.730003,1614900,109.161708
"897",113.160004,113.940002,113.080002,113.800003,2103200,110.197839
"898",112.900002,113.209999,112.309998,112.489998,2649500,108.9293
"899",112.949997,113.510002,112.730003,112.900002,2314900,109.326325
"900",113.379997,113.839996,112.160004,112.790001,2956800,109.219807
"901",113.120003,113.970001,112.900002,113.510002,2500300,109.917017
"902",112.940002,113.940002,112.559998,113.650002,3141400,110.052585
"903",114.07,114.230003,113.050003,113.709999,2123200,110.110684
"904",114.25,114.709999,113,113.830002,2248200,110.226888
"905",113.260002,114.349998,112.620003,112.800003,3259500,109.229492
"906",112.669998,113.410004,112.120003,112.629997,3430500,109.064868
"907",112.57,114.279999,112.550003,114.07,2271800,110.459289
"908",113.879997,114.389999,113.589996,114.220001,2653100,110.604543
"909",113.690002,114.470001,113.650002,114.209999,4284300,110.594857
"910",114.839996,115.980003,114.459999,114.989998,4737200,111.350166
"911",117.489998,118.199997,115.449997,116.120003,5042800,112.444402
"912",115.080002,115.919998,114.489998,114.839996,4086400,111.204913
"913",114.019997,114.349998,111.769997,111.800003,5119800,108.261146
"914",111.879997,114.809998,111.57,113.790001,7665000,110.188153
"915",113.589996,113.93,112.989998,113.860001,3662100,110.255937
"916",113.059998,114.050003,112.43,113.269997,3881200,109.684609
"917",113.980003,115.269997,113.650002,114.68,3210800,111.049981
"918",112.980003,114.93,112.370003,114.019997,3482000,110.410869
"919",114.110001,114.739998,110.110001,110.160004,5262200,106.673058
"920",108.370003,110.019997,107.5,109.099998,9759600,105.646606
"921",108.300003,108.889999,107,107.910004,6864500,104.494278
"922",108.099998,109.5,108.099998,109.449997,3717700,105.985525
"923",110.029999,111.169998,109.989998,110.730003,3982500,107.225015
"924",110.589996,111.68,110.330002,111.599998,4094000,108.067472
"925",111.75,113.199997,111.389999,112.959999,3364000,109.384424
"926",112.529999,112.860001,111.970001,112.779999,3006300,109.783533
"927",112.18,113.580002,111.690002,113.300003,2520900,110.289721
"928",113.260002,114.139999,112.370003,113.870003,3466600,110.844576
"929",114,114.110001,112.959999,113.739998,2392800,110.718025
"930",113.440002,115.279999,113.410004,114.040001,4196200,111.010058
"931",114.360001,115.400002,113.470001,115.050003,3096800,111.993225
"932",115.290001,116.080002,114.720001,115.379997,3660000,112.314451
"933",115.769997,117.580002,115.300003,116.489998,3331500,113.39496
"934",116.050003,116.669998,115.559998,115.889999,2569500,112.810903
"935",115.889999,116.790001,115.610001,116.110001,2951600,113.025059
"936",116.129997,116.629997,115.650002,116.610001,2147100,113.511775
"937",116.919998,117.910004,116.199997,117.019997,3272200,113.910877
"938",115.599998,117.099998,115.449997,116.760002,3125600,113.657791
"939",117.800003,118.169998,117.150002,117.589996,3217100,114.465733
"940",118.160004,118.419998,117.330002,117.410004,2487400,114.290522
"941",118.080002,118.199997,117.260002,117.760002,1786900,114.631222
"942",118.239998,118.400002,117.599998,118.309998,2912900,115.166604
"943",118.199997,118.400002,116.900002,117.769997,2474300,114.640951
"944",117.790001,117.82,115.5,115.639999,3350400,112.567545
"945",115.410004,115.830002,114.510002,115.809998,3184200,112.733027
"946",116.019997,116.5,112.32,112.889999,5926400,109.890611
"947",113.040001,114.360001,112.419998,112.599998,4213800,109.608315
"948",113.169998,114.879997,113.050003,114.410004,3993600,111.37023
"949",114.709999,115.290001,114.339996,114.68,2554900,111.633053
"950",114.639999,115.099998,112.839996,114.010002,2972400,110.980856
"951",114.029999,114.5,113,113.769997,2895500,110.747227
"952",116.519997,117.599998,114.410004,114.57,10342400,111.525975
"953",114.970001,115.199997,112.93,113.75,3124900,110.727762
"954",114.370003,115.239998,113.790001,115.199997,3453300,112.139233
"955",115.849998,116.290001,114.580002,114.580002,3462600,111.535711
"956",114.290001,114.699997,113.300003,113.800003,2403200,110.776436
"957",114.199997,115.440002,114.120003,114.809998,2457100,111.759596
"958",115.480003,116.959999,115.279999,116.839996,3605400,113.73566
"959",117.089996,118,116.779999,117.919998,3304000,114.786967
"960",119.610001,120.129997,118.75,119.870003,7473200,116.685161
"961",119.989998,120,119.120003,119.769997,3775300,116.587812
"962",120.239998,120.489998,117.980003,118.18,3700000,115.040061
"963",117.199997,118.660004,116.110001,116.18,3493800,113.093199
"964",115.82,116.349998,114.940002,115.769997,2442900,112.694089
"965",116.07,117.07,115.599998,117.040001,2552300,113.93035
"966",117.010002,117.410004,114.489998,114.559998,3075600,111.516238
"967",114.150002,115.209999,113.540001,113.93,3111900,110.90298
"968",114.720001,115.300003,113.949997,114.940002,2280700,111.886147
"969",115.300003,116.080002,113.93,115.839996,2794000,112.762229
"970",117,118.089996,115.910004,118.07,2926400,114.932983
"971",118.5,119.290001,118.099998,118.57,3314100,115.419698
"972",118.68,119.059998,118.190002,118.300003,2685000,115.156875
"973",119.279999,120.660004,119,119.190002,4189300,116.023228
"974",119.080002,119.940002,118.940002,119.650002,2683300,116.471005
"975",120.080002,120.080002,118.550003,118.980003,2150300,115.818808
"976",118.459999,118.849998,116.889999,117.209999,3439400,114.095832
"977",117.82,118.379997,116.389999,117.699997,3378100,114.572811
"978",117.919998,118.349998,117.059998,117.559998,2983400,114.436531
"979",117.610001,118.830002,117.470001,118.330002,2841100,115.186077
"980",118.029999,118.519997,116.610001,116.800003,4122100,113.696729
"981",116.029999,117.419998,115.849998,116.519997,5802400,113.424162
"982",116.029999,117.150002,115.510002,116.82,2825300,113.716194
"983",116.330002,116.620003,115.910004,116.010002,1958000,112.927718
"984",116.269997,117.07,115.629997,116.910004,2605300,113.803807
"985",116.870003,118.089996,116.779999,117.019997,2520200,113.910877
"986",116.82,117.279999,116.150002,116.989998,2185000,113.881676
"987",117.440002,118.75,117.389999,118.629997,2795300,115.478102
"988",119.019997,119.190002,118.68,118.739998,2077100,115.58518
"989",118.559998,118.57,117.160004,117.32,1767800,114.773195
"990",117.050003,117.25,115.339996,115.699997,2864200,113.188359
"991",115.870003,116.220001,114.480003,114.580002,4486300,112.092677
"992",114.07,115.57,113.919998,115.019997,3205300,112.523121
"993",114.830002,115.129997,112.599998,113.099998,3751200,110.644802
"994",113.599998,114.959999,113.599998,114.839996,3330100,112.347028
"995",114.470001,115.510002,114.279999,115.040001,2176400,112.542691
"996",115.059998,115.660004,114.93,115.540001,1505100,113.031837
"997",116.089996,116.330002,115.650002,115.849998,1988300,113.335105
"998",115.93,116.550003,115.830002,115.949997,1977400,113.432932
"999",116.230003,116.650002,115.790001,116.349998,2279200,113.824251
"1000",116.290001,116.790001,115.779999,116.220001,3661800,113.697075
"1001",116.410004,117.550003,116.199997,117.400002,2690700,114.85146
"1002",118,118.220001,117.559998,117.82,5362600,115.262341
"1003",117.900002,117.980003,116.82,117.139999,2778400,114.597102
"1004",117.279999,118.400002,116.93,118.169998,2803300,115.604741
"1005",118.43,118.900002,118.279999,118.900002,1958000,116.318898
"1006",119,120.190002,118.480003,120.089996,3177100,117.48306
"1007",119.690002,119.839996,118.559998,119.129997,2620100,116.543901
"1008",118.599998,118.690002,117.860001,118.300003,2167200,115.731924
"1009",117.849998,118.239998,116.559998,116.849998,2537500,114.313396
"1010",116.919998,117.269997,116.300003,116.790001,1919700,114.254701
"1011",116.529999,117.209999,116.199997,116.870003,1809700,114.332966
"1012",116.370003,117.360001,116.199997,117.010002,2244000,114.469927
"1013",117.089996,117.470001,115.93,117.230003,2896300,114.685152
"1014",117.470001,117.739998,116.660004,117.580002,2256900,115.027553
"1015",118.110001,118.279999,117.440002,117.989998,5249700,115.428649
"1016",117.779999,117.93,116.709999,117.129997,2101000,114.587317
"1017",116.690002,116.989998,115.650002,115.68,2770300,113.168797
"1018",115.639999,116.339996,115.360001,116.120003,2467300,113.599248
"1019",116.059998,116.220001,115.059998,115.75,2914100,113.237277
"1020",115.730003,116.580002,115.480003,116.580002,9124000,114.049261
"1021",116.389999,116.389999,115.199997,115.449997,3377200,112.943786
"1022",115.970001,116.470001,115.5,115.93,3245300,113.41337
"1023",115.980003,115.980003,114.699997,115.139999,3821500,112.640518
"1024",115.519997,116,115.389999,115.529999,1746000,113.022052
"1025",115.610001,115.800003,114.709999,115.099998,3779200,112.601386
"1026",114.75,115.099998,113.949997,114.07,2861900,111.593746
"1027",114.349998,114.5,113.379997,113.839996,3358400,111.368736
"1028",112.790001,113.919998,112.440002,113.510002,3654800,111.045905
"1029",113.800003,114.550003,113.540001,114.129997,3697600,111.652442
"1030",114.980003,115.349998,114.669998,114.879997,3017400,112.38616
"1031",115.160004,116.25,114.639999,114.839996,4488700,112.347028
"1032",115.269997,115.269997,114.230003,114.360001,3503700,111.877452
"1033",113.93,114.110001,112.720001,112.769997,4875600,110.321964
"1034",113.010002,113.660004,112.790001,113.57,4244900,111.104601
"1035",113.419998,113.5,112.57,112.980003,5187800,110.527412
"1036",113.860001,114,109.110001,110.860001,10527200,108.453431
"1037",110.650002,110.910004,109.550003,109.730003,6990800,107.347964
"1038",110,110.190002,108.790001,108.949997,6811900,106.58489
"1039",108.639999,109.199997,108.43,108.879997,4348900,106.51641
"1040",109.010002,109.169998,108.080002,108.989998,5391400,106.624022
"1041",108.809998,109.25,107.209999,107.330002,5480700,105.000062
"1042",107.809998,108.150002,106.07,106.379997,5977500,104.07068
"1043",105.699997,106.57,105.099998,105.150002,6528500,102.867385
"1044",104.919998,105.809998,104.25,104.75,4731300,102.476067
"1045",105.040001,105.339996,104.400002,105.050003,3982700,102.769558
"1046",104.82,105.720001,104.480003,105.019997,5579300,102.740203
"1047",104.25,104.550003,103.139999,103.790001,5408700,101.536908
"1048",104.389999,104.57,103.739998,104.220001,4155700,101.957574
"1049",104.669998,105.980003,104.120003,105.959999,4479800,103.659799
"1050",106.57,106.849998,105.68,105.720001,3262600,103.425011
"1051",105.349998,105.800003,104.769997,104.910004,4352900,102.632597
"1052",104.779999,105.769997,104.779999,105.559998,3487700,103.852536
"1053",105.550003,106.050003,105.5,105.769997,2327200,104.059138
"1054",106.309998,106.360001,104.940002,105.629997,3106700,103.921404
"1055",106.660004,108.120003,106.480003,108.089996,5036900,106.341611
"1056",108.18,108.580002,107.690002,108.559998,3961600,106.80401
"1057",108.599998,109.870003,108.559998,109.709999,4502200,107.93541
"1058",110,110.220001,109.5,110.059998,2847600,108.279747
"1059",109.790001,109.940002,109.239998,109.389999,2364900,107.620587
"1060",109.68,110.150002,109.68,109.82,1732800,108.043632
"1061",109.900002,110.169998,109.639999,109.68,2022500,107.905897
"1062",110.199997,110.339996,108.870003,109.089996,2548100,107.325436
"1063",108.800003,109.230003,108.279999,109.110001,2124200,107.345117
"1064",109.110001,109.349998,107.709999,107.980003,4717300,106.233398
"1065",108.260002,109.07,107.720001,109.040001,4142800,107.276249
"1066",109.989998,110,108.82,109.199997,2629700,107.433658
"1067",109.489998,109.650002,109.059998,109.220001,2856600,107.453338
"1068",109.510002,109.510002,108.379997,108.699997,2793100,106.941745
"1069",108.900002,108.940002,108.480003,108.599998,3785400,106.843364
"1070",108.760002,108.980003,108.410004,108.669998,2114600,106.912232
"1071",108.669998,109.220001,108.089996,108.5,2364600,106.744983
"1072",108.279999,108.730003,108.050003,108.510002,2270600,106.754824
"1073",108.209999,108.639999,107.949997,108.349998,2920400,106.597408
"1074",108.279999,108.470001,107.75,108.32,2515000,106.567894
"1075",107.830002,108.860001,107.290001,108.540001,3089800,106.784337
"1076",108.660004,108.949997,107.620003,108.029999,4109000,106.282584
"1077",107.410004,108.660004,107.410004,108.519997,3439700,106.764656
"1078",109.099998,109.199997,108.160004,108.449997,5947500,106.695789
"1079",108.029999,108.459999,106.370003,106.470001,4142300,104.74782
"1080",106.480003,106.480003,105.040001,105.419998,3839100,103.714801
"1081",105.629997,106.25,105.139999,106.07,3826800,104.354289
"1082",106,106.059998,104.300003,104.489998,3936200,102.799844
"1083",104.25,105.379997,104.25,105.239998,4076400,103.537712
"1084",104.400002,105.489998,104.269997,105.080002,2896800,103.380304
"1085",105.540001,106.209999,105.07,105.599998,5014100,103.89189
"1086",105.199997,105.25,103.440002,103.839996,5864700,102.160356
"1087",103.709999,103.970001,102.449997,103.239998,4034300,101.570063
"1088",103.910004,104.580002,103.599998,104.419998,3044800,102.730976
"1089",105.059998,105.540001,103.75,104.220001,2981900,102.534215
"1090",103.839996,103.989998,101.379997,101.419998,5991500,99.779502
"1091",101.699997,102.699997,100.690002,102.629997,6249400,100.969929
"1092",102.25,102.709999,99.830002,99.940002,6739600,98.323446
"1093",99.989998,100.769997,99.25,99.940002,6678100,98.323446
"1094",100.050003,100.959999,99.220001,99.309998,5111200,97.703632
"1095",99.709999,101.110001,99.580002,100.120003,4573000,98.500535
"1096",99.059998,99.589996,97.300003,99.169998,7105000,97.565897
"1097",98.160004,100.089996,97.949997,99.230003,6099100,97.624931
"1098",100.300003,101.980003,100.239998,101.529999,7282000,99.887724
"1099",101.419998,101.769997,100.970001,101.480003,6394300,99.838537
"1100",104.120003,104.150002,100.68,101.980003,12554100,100.330449
"1101",103.110001,103.110001,101.059998,101.18,6181400,99.543386
"1102",102.870003,103.940002,102.459999,103.18,5691500,101.511036
"1103",103.160004,103.870003,102.800003,103.82,3657900,102.140683
"1104",103.790001,104.300003,103.489998,104.190002,2957500,102.504701
"1105",104.959999,106.519997,104.860001,106.269997,4173500,104.551051
"1106",106.720001,107.269997,105.419998,105.849998,4060700,104.137846
"1107",105.209999,106.589996,104.699997,106.339996,2890400,104.619918
"1108",107.830002,107.949997,106.980003,107,4461100,105.269246
"1109",107.419998,107.5,106.029999,106.300003,4587600,104.580572
"1110",107,107.290001,106.330002,106.879997,3992400,105.151184
"1111",107.550003,108.440002,107.080002,107.93,6698900,106.184203
"1112",107.900002,108.830002,107.779999,108.580002,3581300,106.823691
"1113",108.489998,109.080002,107.949997,109.080002,3253500,107.315603
"1114",109.050003,109.230003,108.669998,109,3523700,107.236896
"1115",109,109.150002,108.029999,108.260002,2949500,106.508867
"1116",107.669998,108.260002,107.360001,108.139999,3182500,106.973795
"1117",108.32,108.970001,107.970001,108.139999,4211200,106.973795
"1118",107.919998,108.419998,107.389999,107.449997,2935500,106.291234
"1119",107.209999,107.730003,107.150002,107.370003,2394500,106.212102
"1120",107.699997,109.089996,107.290001,108.800003,2679300,107.626681
"1121",108.550003,108.82,108.209999,108.660004,2271200,107.488191
"1122",108,108.860001,107.870003,108.82,2195700,107.646462
"1123",110.169998,110.610001,109.970001,110.300003,3572100,109.110505
"1124",108.959999,111.699997,108.410004,108.790001,9706400,107.616787
"1125",110.089996,112.260002,109.699997,111.709999,8103100,110.505295
"1126",111.790001,111.989998,109.839996,110.160004,5268800,108.972015
"1127",110.639999,110.800003,109.919998,110.080002,2121500,108.892876
"1128",109.059998,110.279999,108.699997,109.690002,3458800,108.507083
"1129",109.830002,110.730003,109.489998,109.68,2747000,108.497188
"1130",109.900002,111.419998,109.580002,110.989998,3411400,109.793059
"1131",110.470001,111.220001,109.949997,111.209999,4602600,110.010687
"1132",111.480003,111.650002,110.440002,111.290001,3021700,110.089826
"1133",112.25,114.550003,111.519997,113.050003,6350200,111.830848
"1134",112.230003,115,111.559998,114.989998,5888700,113.749922
"1135",114.5,115.029999,113.349998,113.5,7863500,112.275992
"1136",114.099998,114.860001,113.260002,114.040001,5286100,112.81017
"1137",110.540001,113.660004,110.099998,112.150002,5867300,110.940552
"1138",112.660004,113.449997,111.620003,111.910004,4597400,110.703143
"1139",112.230003,114.699997,111.330002,113.230003,5139300,112.008907
"1140",113.510002,114.339996,111.82,113.900002,5023600,112.67168
"1141",115.150002,116.959999,114.5,116.959999,4740000,115.698678
"1142",116.279999,117.190002,115.379997,115.589996,7871600,114.34345
"1143",115.279999,117.199997,115.279999,117.139999,3058100,115.876737
"1144",117.5,118.019997,116.919998,117.209999,2715900,115.945982
"1145",117.660004,117.93,116.870003,116.910004,1017900,115.649222
"1146",117.519997,117.800003,117.099998,117.239998,1596700,115.975657
"1147",116.349998,117.339996,116.349998,116.860001,2490700,115.599758
"1148",116.889999,116.889999,115.93,116.199997,2178000,114.946872
"1149",116.599998,116.900002,114.959999,115,2363500,113.759816
"1150",115.139999,115.639999,113.800003,115.040001,3140100,113.799386
"1151",114.550003,115.459999,112.839996,113.120003,4765300,111.900093
"1152",112.269997,113.040001,110.230003,111.519997,5772300,110.317342
"1153",112.349998,113.339996,112.019997,112.730003,3102200,111.514299
"1154",113.919998,115,113.300003,114.650002,3899900,113.413592
"1155",114.93,115.129997,113.379997,114.019997,3816100,112.790381
"1156",114.459999,114.75,113.019997,114.449997,5016200,113.215744
"1157",115.529999,116.839996,113.5,114.339996,4196400,113.10693
"1158",113.169998,114.169998,112.620003,113.519997,3508800,112.295773
"1159",113.519997,114.690002,113.059998,113.519997,3170600,112.295773
"1160",113.190002,116.339996,113.160004,116.150002,5773200,114.897416
"1161",116.580002,117.730003,115.900002,117.529999,5466000,116.262531
"1162",117.360001,119.300003,117.199997,119.029999,7177600,117.746354
"1163",119.760002,120.68,118.760002,120.449997,6562900,119.151039
"1164",120.370003,120.949997,119.93,119.980003,4298400,118.686114
"1165",119.830002,119.919998,118.279999,118.75,5693900,117.469375
"1166",116.5,120.360001,115.010002,119.160004,7328100,117.874957
"1167",119.379997,119.379997,116.790001,116.919998,4341100,115.659108
"1168",116.879997,117.029999,114.470001,116.449997,6328600,115.194176
"1169",115.019997,116.230003,114.629997,114.779999,4623100,113.542187
"1170",115.169998,116.699997,114.050003,116.580002,3516900,115.322779
"1171",117.580002,119.519997,116.419998,118.889999,4491500,117.607865
"1172",118.75,119,117.449997,117.790001,3208400,116.519729
"1173",118.260002,120.360001,117.919998,120.110001,4687300,118.814709
"1174",120,121.019997,119.379997,119.809998,2795900,118.517942
"1175",119.440002,119.940002,118.910004,119.32,2560700,118.033228
"1176",119.889999,120.220001,118.919998,119.400002,2560000,118.112367
"1177",118.510002,119.059998,117.970001,118.690002,2707600,118.042752
"1178",119.169998,119.959999,118.82,119.589996,2897000,118.937838
"1179",119.339996,121.379997,119.339996,121.25,3802100,120.588789
"1180",121,121.900002,120.57,121.32,3241200,120.658407
"1181",121.32,122.660004,121.010002,121.989998,3475200,121.324751
"1182",121.580002,123,121.580002,122.910004,3407000,122.23974
"1183",122.989998,124.449997,122,124.110001,4062200,123.433193
"1184",123.629997,124.160004,123.07,123.720001,2737300,123.04532
"1185",123.419998,124.139999,122.989998,123.790001,2455400,123.114938
"1186",123.849998,124.330002,122.949997,123.370003,2872900,122.697231
"1187",123.32,123.550003,122.150002,122.669998,2498200,122.001043
"1188",122.550003,122.849998,121.790001,121.910004,3085300,121.245193
"1189",121.910004,123.5,121.550003,123.190002,2325900,122.518212
"1190",121.980003,122.889999,121.110001,121.699997,3187500,121.036332
"1191",121.25,121.389999,120.519997,121.040001,2123200,120.379935
"1192",121.290001,121.489998,120.349998,120.790001,1928300,120.131298
"1193",119.400002,120.360001,118.879997,119.43,3663100,118.778714
"1194",119.290001,122.190002,119.290001,121.75,4127100,121.086062
"1195",120.550003,120.980003,117.339996,117.400002,5583800,116.759785
"1196",117.779999,118.910004,117.370003,118.339996,3747900,117.694654
"1197",120.349998,121.470001,120.279999,121.239998,4907800,120.578841
"1198",120.760002,121.599998,117.699997,118.739998,7361500,118.092474
"1199",119.25,120.160004,119.029999,120.07,4674700,119.415223
"1200",119.519997,120.129997,118.75,119.860001,3822800,119.206369
"1201",119.279999,120.599998,117.25,120.309998,5280200,119.653912
"1202",120.040001,120.309998,119.040001,119.379997,2880800,118.728984
"1203",119.809998,120.400002,119.459999,119.459999,8207000,118.808549
"1204",119.459999,119.690002,118.190002,118.68,4542800,118.032804
"1205",119.040001,120.18,118.25,118.919998,4033800,118.271493
"1206",119.199997,119.339996,116.389999,116.459999,4456500,115.824909
"1207",115.959999,116.620003,115.019997,116.040001,4389700,115.407201
"1208",116.139999,117.199997,116.050003,116.900002,2804000,116.262512
"1209",117.68,119.230003,117.400002,118.830002,3000800,118.181988
"1210",117.669998,118.150002,117.150002,117.199997,3525400,116.560872
"1211",117.370003,117.480003,115.360001,115.919998,3426200,115.287853
"1212",116.589996,117.68,115.989998,117.129997,4227300,116.491254
"1213",115.93,118.709999,115.93,117.860001,2857300,117.217276
"1214",117.760002,118.550003,117.449997,117.489998,2269100,116.849291
"1215",117.709999,118.650002,117.059998,117.839996,2484100,117.197381
"1216",117.699997,118.739998,117.18,117.879997,2088400,117.237164
"1217",118.139999,118.940002,117.43,118.459999,2254700,117.814003
"1218",117.970001,118.620003,117.239998,117.410004,3030400,116.769733
"1219",117.050003,118.110001,116.580002,117.690002,2606400,117.048205
"1220",118.080002,118.779999,117.519997,117.870003,2774300,117.227224
"1221",117.349998,118.309998,116.919998,117.480003,2905100,116.839351
"1222",116.309998,116.519997,114.860001,115.110001,4318500,114.482273
"1223",116.019997,117.169998,115.889999,116.510002,4007500,115.874639
"1224",118.730003,119,116.110001,116.949997,4585000,116.312235
"1225",116.989998,117.43,115.730003,116.959999,2792900,116.322182
"1226",116.419998,117.910004,116.029999,117.260002,2632800,116.62055
"1227",117.440002,117.699997,116.059998,116.160004,3523100,115.52655
"1228",116.660004,116.870003,115.699997,115.739998,3920300,115.108834
"1229",115.199997,116.239998,114.949997,116.080002,2746700,115.446984
"1230",115.580002,116.230003,115.169998,115.379997,2893800,114.750797
"1231",114.93,115.629997,113.290001,113.75,3899200,113.129688
"1232",114.589996,115.720001,114.510002,115.440002,2781700,114.810475
"1233",115.779999,117.139999,115.699997,116.449997,3925300,115.814962
"1234",116.010002,116.879997,114.709999,115.07,3028200,114.44249
"1235",116.559998,116.559998,114.269997,115.080002,3690300,114.452437
"1236",115.129997,116.559998,114.589996,116.040001,3155700,115.407201
"1237",117.709999,118.849998,117.309998,118.43,3707800,117.784167
"1238",117.440002,118.489998,117.440002,117.699997,3023800,117.058145
"1239",117.050003,117.830002,116.019997,117.360001,2804100,116.720003
"1240",116.970001,118,116.860001,117.370003,3038700,117.370003
"1241",117.82,119.370003,117.82,119.139999,2728800,119.139999
"1242",119.080002,119.389999,117.919998,118.489998,2964700,118.489998
"1243",118.529999,119.120003,118.400002,118.510002,2435100,118.510002
"1244",118.599998,119.449997,118.510002,119.07,2808400,119.07
"1245",119.660004,119.660004,118.599998,118.870003,2431600,118.870003
"1246",118.809998,119.660004,118.699997,119.120003,2121200,119.120003
"1247",119,119.660004,118.550003,118.620003,2389600,118.620003
"1248",118.550003,118.620003,116.410004,116.870003,3434600,116.870003
"1249",117.400002,117.879997,116.68,117.639999,3365100,117.639999
"1250",117.269997,118,117.269997,117.690002,2903600,117.690002
"1251",117.510002,117.610001,116.43,117.169998,4933500,117.169998
"1252",117.230003,117.629997,116.459999,117,2339700,117
"1253",116.730003,118.050003,116.239998,117.339996,3503300,117.339996
"1254",118.029999,119.120003,117.400002,118.510002,3125000,118.510002
"1255",117.830002,118.419998,116.790001,117.139999,3569200,117.139999
"1256",116.589996,117.379997,116.18,117,2650200,117
"1257",116.540001,117.360001,116.110001,116.18,3209400,116.18
"1258",116.510002,117.25,116.019997,116.300003,2474200,116.300003
"1259",117.5,118,116.910004,117.5,3141500,117.5
