Date,Open,High,Low,Close,Volume,Adj Close
2010-06-10,185.910004,188.809998,183.699997,187.720001,1364900,187.720001
2010-06-11,187.619995,189.809998,185.210007,189.300003,866200,189.300003
2010-06-14,190.419998,192.539993,190.089996,190.660004,467700,190.660004
2010-06-15,191.5,194.270004,190.220001,194.229996,681200,194.229996
2010-06-16,193.919998,196.490005,193.910004,195.410004,596700,195.410004
2010-06-17,194.910004,196.059998,193.190002,195.130005,459200,195.130005
2010-06-18,195.639999,196.75,194.740005,195.309998,590500,195.309998
2010-06-21,196.75,196.949997,194.330002,194.850006,559200,194.850006
2010-06-22,194.699997,196.649994,192.630005,192.850006,534400,192.850006
2010-06-23,192.600006,196.699997,192.130005,196.229996,654000,196.229996
2010-06-24,195.529999,196.809998,192.910004,195.639999,656100,195.639999
2010-06-25,196.5,197.630005,194.970001,196.130005,645000,196.130005
2010-06-28,196.130005,198.220001,195.080002,196.210007,417900,196.210007
2010-06-29,194.869995,197.460007,192.169998,195.529999,728900,195.529999
2010-06-30,195.279999,197.130005,192.699997,193.220001,560300,193.220001
2010-07-01,193.0,195.199997,189.380005,194.720001,743400,194.720001
2010-07-02,195.5,196.360001,194.0,195.009995,447600,195.009995
2010-07-06,196.320007,197.369995,192.649994,194.660004,611200,194.660004
2010-07-07,194.160004,197.330002,194.100006,197.110001,690900,197.110001
2010-07-08,197.75,200.589996,197.080002,198.100006,763100,198.100006
2010-07-09,198.399994,200.740005,197.600006,200.119995,557000,200.119995
2010-07-12,200.380005,203.5,199.759995,202.690002,637700,202.690002
2010-07-13,203.979996,206.419998,203.050003,205.429993,609300,205.429993
2010-07-14,205.309998,206.149994,203.800003,204.960007,594700,204.960007
2010-07-15,204.699997,205.449997,203.600006,204.910004,932600,204.910004
2010-07-16,204.550003,204.960007,201.509995,202.25,636900,202.25
2010-07-19,202.919998,204.809998,201.899994,203.850006,395000,203.850006
2010-07-20,201.970001,208.199997,201.970001,207.5,619100,207.5
