Date,Open,High,Low,Close,Volume,Adj Close
2013-11-18,49.75,50.0,47.490002,48.48,587100,48.033707
2013-11-19,48.990002,49.0,45.299999,45.799999,1682000,45.378378
2013-11-20,45.98,46.0,43.990002,44.650002,1106900,44.238967
2013-11-21,44.5,45.150002,43.040001,43.790001,730200,43.386883
2013-11-22,43.900002,44.099998,43.25,43.990002,947600,43.585043
2013-11-25,44.279999,45.619999,43.700001,44.18,727300,43.773293
2013-11-26,45.0,45.0,43.040001,43.200001,873700,42.802315
2013-11-27,43.549999,43.549999,42.5,43.240002,1153300,42.841947
2013-11-29,42.75,43.849998,42.75,43.240002,949900,42.841947
2013-12-02,43.080002,43.669998,41.52,43.139999,5130700,42.742866
2013-12-03,42.799999,44.849998,42.700001,42.900002,3239300,42.505077
2013-12-04,42.43,42.610001,41.650002,41.830002,2777700,41.444927
2013-12-05,42.279999,42.279999,40.630001,41.049999,3380500,40.672105
2013-12-06,40.75,41.060001,40.639999,40.700001,4662300,40.325329
2013-12-09,40.700001,41.27,40.240002,41.18,3074000,40.80091
2013-12-10,41.07,42.84,41.040001,42.560001,3289400,42.168207
2013-12-11,42.32,43.02,42.0,42.459999,3367300,42.069125
2013-12-12,42.009998,43.099998,42.0,42.970001,1770500,42.574432
2013-12-13,42.919998,43.799999,42.919998,43.25,683800,42.851854
2013-12-16,43.009998,43.990002,42.110001,43.689999,1953900,43.287802
2013-12-17,43.43,44.0,43.16,43.75,1396700,43.347251
2013-12-18,43.650002,44.5,43.099998,44.27,1225200,43.862464
2013-12-19,43.959999,44.5,43.82,44.450001,593000,44.040807
2013-12-20,44.299999,44.450001,43.91,44.259998,2878600,43.852554
2013-12-23,44.169998,44.849998,43.549999,44.650002,773600,44.238967
2013-12-24,44.759998,45.02,44.25,44.580002,304700,44.169612
2013-12-26,44.860001,45.009998,44.439999,44.700001,513200,44.288506
2013-12-27,44.77,44.970001,44.09,44.639999,393300,44.229057
2013-12-30,44.450001,44.880001,44.0,44.119999,381500,43.713844
